Ticker,Company,Industry
CRI,Carter's Inc. Common Stock,Apparel
CRIS,Curis Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
CRK,Comstock Resources Inc. Common Stock,Oil & Gas Production
CRKN,Crown Electrokinetics Corp. Common Stock,Industrial Machinery/Components
CRL,Charles River Laboratories International Inc. Common Stock,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce Inc. Common Stock,Computer Software: Prepackaged Software
CRMD,CorMedix Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CRML,Critical Metals Corp. Ordinary Shares,Metal Mining
CRMLW,Critical Metals Corp. Warrants,Metal Mining
CRMT,America's Car-Mart Inc Common Stock,Retail-Auto Dealers and Gas Stations
CRNC,Cerence Inc. Common Stock,Computer Software: Prepackaged Software
CRNT,Ceragon Networks Ltd. Ordinary Shares,Radio And Television Broadcasting And Communications Equipment
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CRON,Cronos Group Inc. Common Share, Medicinal Chemicals and Botanical Products 
CROX,Crocs Inc. Common Stock,Shoe Manufacturing
CRS,Carpenter Technology Corporation Common Stock,Steel/Iron Ore
CRSP,CRISPR Therapeutics AG Common Shares,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,Corsair Gaming Inc. Common Stock,Computer peripheral equipment
CRT,Cross Timbers Royalty Trust Common Stock,Oil & Gas Production
CRTO,Criteo S.A. American Depositary Shares,Advertising
CRUS,Cirrus Logic Inc. Common Stock,Semiconductors
CRVL,CorVel Corp. Common Stock,Specialty Insurers
CRVO,CervoMed Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CRVS,Corvus Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Computer Software: Prepackaged Software
CRWS,Crown Crafts Inc Common Stock,Textiles
CSAN,Cosan S.A. ADS,Retail-Auto Dealers and Gas Stations
CSBR,Champions Oncology Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
CSCI,COSCIENS Biopharma Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CSCO,Cisco Systems Inc. Common Stock (DE),Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,Business Services
CSGS,CSG Systems International Inc. Common Stock,EDP Services
CSIQ,Canadian Solar Inc. Common Shares (ON),Semiconductors
CSL,Carlisle Companies Incorporated Common Stock,Specialty Chemicals
CSLR,Complete Solaria Inc. Common Stock,Semiconductors
CSLRW,Complete Solaria Inc. Warrants,Semiconductors
CSPI,CSP Inc. Common Stock,EDP Services
CSQ,Calamos Strategic Total Return Common Stock,Finance Companies
CSR,D/B/A Centerspace Common Stock,Real Estate Investment Trusts
CSTE,Caesarstone Ltd. Ordinary Shares,Building Materials
CSTL,Castle Biosciences Inc. Common Stock,Medical Specialities
CSTM,Constellium SE Ordinary Shares (France),Metal Fabrications
CSV,Carriage Services Inc. Common Stock,Other Consumer Services
CSWC,Capital Southwest Corporation Common Stock,Textiles
CSWCZ,Capital Southwest Corporation 7.75% Notes due 2028,Finance Companies
CSWI,CSW Industrials Inc. Common Stock,Home Furnishings
CSX,CSX Corporation Common Stock,Railroads
CTA^A,EIDP Inc. Preferred Stock $3.50 Series,
CTA^B,EIDP Inc. Preferred Stock $4.50 Series,
CTAS,Cintas Corporation Common Stock,Apparel
CTBB,Qwest Corporation 6.5% Notes due 2056,Telecommunications Equipment
CTBI,Community Trust Bancorp Inc. Common Stock,Major Banks
CTCX,Carmell Corporation Common Stock,Medical/Dental Instruments
CTCXW,Carmell Corporation Warrant,Medical/Dental Instruments
CTDD,Qwest Corporation 6.75% Notes due 2057,Telecommunications Equipment
CTGO,Contango ORE Inc. Common Stock,Precious Metals
CTHR,Charles & Colvard Ltd Common Stock,Consumer Specialties
CTKB,Cytek Biosciences Inc. Common Stock,Biotechnology: Laboratory Analytical Instruments
CTLP,Cantaloupe Inc. Common Stock,Office Equipment/Supplies/Services
CTM,Castellum Inc. Common Stock,Professional Services
CTMX,CytomX Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CTNM,Contineum Therapeutics Inc. Class A Common Stock,Biotechnology: Pharmaceutical Preparations
CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,Motor Vehicles
CTO,CTO Realty Growth Inc. Common Stock,Real Estate Investment Trusts
CTO^A,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock,
CTOR,Citius Oncology Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CTOS,Custom Truck One Source Inc. Common Stock,Diversified Commercial Services
CTRA,Coterra Energy Inc. Common Stock,Oil & Gas Production
CTRE,CareTrust REIT Inc. Common Stock,Real Estate Investment Trusts
CTRI,Centuri Holdings Inc. Common Stock,Oil & Gas Production
CTRM,Castor Maritime Inc. Common Shares,Marine Transportation
CTRN,Citi Trends Inc. Common Stock,Clothing/Shoe/Accessory Stores
CTS,CTS Corporation Common Stock,Electrical Products
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,EDP Services
CTSO,Cytosorbents Corporation Common Stock,Medical/Dental Instruments
CTV,Innovid Corp. Common Stock,Computer Software: Prepackaged Software
CTVA,Corteva Inc. Common Stock ,Farming/Seeds/Milling
CTXR,Citius Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CUB,Lionheart Holdings Class A Ordinary Shares,Industrial Machinery/Components
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,Investment Managers
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,Major Banks
CUBE,CubeSmart Common Shares,Real Estate Investment Trusts
CUBI,Customers Bancorp Inc Common Stock,Major Banks
CUBI^E,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E,
CUBI^F,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,
CUBWU,Lionheart Holdings Unit,Blank Checks
CUBWW,Lionheart Holdings Warrant,
CUE,Cue Biopharma Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CUK,Carnival Plc ADS ADS,Marine Transportation
CULP,Culp Inc. Common Stock,Textiles
CURB,Curbline Properties Corp. Common Stock,Real Estate
CURI,CuriosityStream Inc. Class A Common Stock,Movies/Entertainment
CURIW,CuriosityStream Inc. Warrant,Movies/Entertainment
CURR,Currenc Group Inc. Ordinary Shares,Business Services
CURV,Torrid Holdings Inc. Common Stock,Clothing/Shoe/Accessory Stores
CUTR,Cutera Inc. Common Stock,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CUZ,Cousins Properties Incorporated Common Stock,Real Estate Investment Trusts
CVAC,CureVac N.V. Ordinary Shares,Biotechnology: Pharmaceutical Preparations
CVBF,CVB Financial Corporation Common Stock,Major Banks
CVCO,Cavco Industries Inc. Common Stock When Issued,Homebuilding
CVE,Cenovus Energy Inc Common Stock,Oil & Gas Production
CVEO,Civeo Corporation (Canada) Common Shares,Hotels/Resorts
CVGI,Commercial Vehicle Group Inc. Common Stock,Auto Parts:O.E.M.
CVGW,Calavo Growers Inc. Common Stock,Specialty Foods
CVI,CVR Energy Inc. Common Stock,Integrated oil Companies
CVKD,Cadrenal Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CVLG,Covenant Logistics Group Inc. Class A Common Stock,Trucking Freight/Courier Services
CVLT,Commvault Systems Inc. Common Stock,Computer Software: Prepackaged Software
CVM,Cel-Sci Corporation Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
CVNA,Carvana Co. Class A Common Stock,Retail-Auto Dealers and Gas Stations
CVR,Chicago Rivet & Machine Co. Common Stock,Industrial Machinery/Components
CVRX,CVRx Inc. Common Stock,Medical/Dental Instruments
CVS,CVS Health Corporation Common Stock,Retail-Drug Stores and Proprietary Stores
CVU,CPI Aerostructures Inc. Common Stock,Military/Government/Technical
CVV,CVD Equipment Corporation Common Stock,Industrial Machinery/Components
CVX,Chevron Corporation Common Stock,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,Computer Software: Prepackaged Software
CWBC,Community West Bancshares Common Stock,Major Banks
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,Water Supply
CWD,CaliberCos Inc. Class A Common Stock,Real Estate
CWEN,Clearway Energy Inc. Class C Common Stock,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Common Stock,Retail-Auto Dealers and Gas Stations
CWK,Cushman & Wakefield plc Ordinary Shares,Real Estate
CWST,Casella Waste Systems Inc. Class A Common Stock,Environmental Services
CWT,California Water Service Group Common Stock,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,Building Materials
CXAI,CXApp Inc. Class A Common Stock,EDP Services
CXAIW,CXApp Inc. Warrant,EDP Services
CXDO,Crexendo Inc. Common Stock,Telecommunications Equipment
CXE,MFS High Income Municipal Trust Common Stock,Investment Managers
CXH,MFS Investment Grade Municipal Trust Common Stock,Investment Managers
CXM,Sprinklr Inc. Class A Common Stock,Computer Software: Prepackaged Software
CXT,Crane NXT Co. Common Stock,Metal Fabrications
CXW,CoreCivic Inc. Common Stock,Real Estate Investment Trusts
CYBN,Cybin Inc. Common Shares,Biotechnology: Pharmaceutical Preparations
CYBR,CyberArk Software Ltd. Ordinary Shares,Computer Software: Prepackaged Software
CYCC,Cyclacel Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CYCCP,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock,Biotechnology: Pharmaceutical Preparations
CYCN,Cyclerion Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CYD,China Yuchai International Limited Common Stock,Industrial Machinery/Components
CYH,Community Health Systems Inc. Common Stock,Hospital/Nursing Management
CYN,Cyngn Inc. Common Stock,EDP Services
CYRX,CryoPort Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
CYTH,Cyclo Therapeutics Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
CYTHW,Cyclo Therapeutics Inc. Warrant,Biotechnology: Biological Products (No Diagnostic Substances)
CYTK,Cytokinetics Incorporated Common Stock,Biotechnology: Pharmaceutical Preparations
CZFS,Citizens Financial Services Inc. Common Stock,Major Banks
CZNC,Citizens & Northern Corp Common Stock,Major Banks
CZR,Caesars Entertainment Inc. Common Stock,Hotels/Resorts
CZWI,Citizens Community Bancorp Inc. Common Stock,Savings Institutions
D,Dominion Energy Inc. Common Stock,Electric Utilities: Central
DAC,Danaos Corporation Common Stock,Marine Transportation
DADA,Dada Nexus Limited American Depositary Shares,Computer Software: Programming Data Processing
DAIO,Data I/O Corporation Common Stock,Electrical Products
DAKT,Daktronics Inc. Common Stock,Miscellaneous manufacturing industries
DAL,Delta Air Lines Inc. Common Stock,Air Freight/Delivery Services
DALN,DallasNews Corporation Series A Common Stock,Newspapers/Magazines
DAN,Dana Incorporated Common Stock ,Auto Parts:O.E.M.
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,Other Consumer Services
DAR,Darling Ingredients Inc. Common Stock,Packaged Foods
DARE,Dare Bioscience Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DASH,DoorDash Inc. Class A Common Stock,Business Services
DATS,DatChat Inc. Common Stock,Telecommunications Equipment
DATSW,DatChat Inc. Series A Warrant,Telecommunications Equipment
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),EDP Services
DAVE,Dave Inc. Class A Common Stock,Finance: Consumer Services
DAVEW,Dave Inc. Warrants,Finance: Consumer Services
DAWN,Day One Biopharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DAY,Dayforce Inc. Common Stock,Computer Software: Prepackaged Software
DB,Deutsche Bank AG Common Stock,Major Banks
DBD,Diebold Nixdorf Incorporated Common stock,Office Equipment/Supplies/Services
DBI,Designer Brands Inc. Class A Common Stock,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,
DBRG,DigitalBridge Group Inc.,Real Estate Investment Trusts
DBRG^H,DigitalBridge Group Inc. 7.125% Series H ,
DBRG^I,DigitalBridge Group Inc. 7.15% Series I ,
DBRG^J,DigitalBridge Group Inc. 7.125% Series J ,
DBVT,DBV Technologies S.A. American Depositary Shares,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,Dropbox Inc. Class A Common Stock,Computer Software: Prepackaged Software
DC,Dakota Gold Corp. Common Stock,Metal Mining
DCBO,Docebo Inc. Common Shares,Computer Software: Prepackaged Software
DCGO,DocGo Inc. Common Stock,Medical/Nursing Services
DCI,Donaldson Company Inc. Common Stock,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,Military/Government/Technical
DCOM,Dime Community Bancshares Inc. Common Stock,Major Banks
DCOMG,Dime Community Bancshares Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034,Major Banks
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,Major Banks
DCTH,Delcath Systems Inc. Common Stock,Medical/Dental Instruments
DD,DuPont de Nemours Inc. Common Stock,Major Chemicals
DDC,DDC Enterprise Limited Class A Ordinary Shares,Packaged Foods
DDD,3D Systems Corporation Common Stock,Computer Software: Prepackaged Software
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,EDP Services
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),Catalog/Specialty Distribution
DDOG,Datadog Inc. Class A Common Stock,Computer Software: Prepackaged Software
DDS,Dillard's Inc. Common Stock,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,Real Estate Investment Trusts
DEC,Diversified Energy Company plc Ordinary Shares,
DECA,Denali Capital Acquisition Corp. Class A Ordinary Shares,Blank Checks
DECAW,Denali Capital Acquisition Corp. Warrant,Blank Checks
DECK,Deckers Outdoor Corporation Common Stock,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,Computer Manufacturing
DENN,Denny's Corporation Common Stock,Restaurants
DEO,Diageo plc Common Stock,Beverages (Production/Distribution)
DERM,Journey Medical Corporation Common Stock,Biotechnology: Pharmaceutical Preparations
DESP,Despegar.com Corp. Ordinary Shares,Transportation Services
DEVS,DevvStream Corp. Common Stock,Finance/Investors Services
DFH,Dream Finders Homes Inc. Class A Common Stock,Homebuilding
DFIN,Donnelley Financial Solutions Inc. Common Stock ,Other Consumer Services
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),Industrial Machinery/Components
DFLIW,Dragonfly Energy Holdings Corp. Warrant,Industrial Machinery/Components
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,Investment Managers
DFS,Discover Financial Services Common Stock,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,Department/Specialty Retail Stores
DGHI,Digihost Technology Inc. Common Subordinate Voting Shares,Finance: Consumer Services
DGICA,Donegal Group Inc. Class A Common Stock,Property-Casualty Insurers
DGICB,Donegal Group Inc. Class B Common Stock,Property-Casualty Insurers
DGII,Digi International Inc. Common Stock,Computer Communications Equipment
DGLY,Digital Ally Inc. Common Stock,Radio And Television Broadcasting And Communications Equipment
DGNX,Diginex Limited Ordinary Shares,
DGX,Quest Diagnostics Incorporated Common Stock,Medical Specialities
DH,Definitive Healthcare Corp. Class A Common Stock,Computer Software: Prepackaged Software
DHAI,DIH Holdings US Inc. Class A Common Stock,Medical/Dental Instruments
DHAIW,DIH Holding US Inc. Warrants,Medical/Dental Instruments
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,Real Estate Investment Trusts
DHF,BNY Mellon High Yield Strategies Fund Common Stock,Finance Companies
DHI,D.R. Horton Inc. Common Stock,Homebuilding
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,Investment Managers
DHR,Danaher Corporation Common Stock,Industrial Machinery/Components
DHT,DHT Holdings Inc.,Marine Transportation
DHX,DHI Group Inc. Common Stock,Business Services
DHY,Credit Suisse High Yield Bond Fund Common Stock,Finance/Investors Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,Finance Companies
DIBS,1stdibs.com Inc. Common Stock,Catalog/Specialty Distribution
DIN,Dine Brands Global Inc. Common Stock,Restaurants
DINO,HF Sinclair Corporation Common Stock,Natural Gas Distribution
DIOD,Diodes Incorporated Common Stock,Semiconductors
DIS,Walt Disney Company (The) Common Stock,Services-Misc. Amusement & Recreation
DIST,Distoken Acquisition Corporation Ordinary Shares,Blank Checks
DISTR,Distoken Acquisition Corporation Right,Blank Checks
DISTW,Distoken Acquisition Corporation Warrant,Blank Checks
DIT,AMCON Distributing Company Common Stock,Food Distributors
DJCO,Daily Journal Corp. (S.C.) Common Stock,Newspapers/Magazines
DJT,Trump Media & Technology Group Corp. Common Stock,Computer Software: Programming Data Processing
DJTWW,Trump Media & Technology Group Corp. Warrants,Computer Software: Programming Data Processing
DK,Delek US Holdings Inc. Common Stock,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,Natural Gas Distribution
DKNG,DraftKings Inc. Class A Common Stock,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,Multi-Sector Companies
DLHC,DLH Holdings Corp.,Professional Services
DLNG,Dynagas LNG Partners LP Common Units,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,
DLO,DLocal Limited Class A Common Shares,Business Services
DLPN,Dolphin Entertainment Inc. Common Stock,Other Consumer Services
DLR,Digital Realty Trust Inc. Common Stock,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,
DLTH,Duluth Holdings Inc. Class B Common Stock,Clothing/Shoe/Accessory Stores
DLTR,Dollar Tree Inc. Common Stock,Department/Specialty Retail Stores
DLX,Deluxe Corporation Common Stock,Publishing
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,Investment Managers
DM,Desktop Metal Inc. Class A Common Stock,Industrial Machinery/Components
DMA,Destra Multi-Alternative Fund Common Stock,Trusts Except Educational Religious and Charitable
DMAC,DiaMedica Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,Trusts Except Educational Religious and Charitable
DMF,BNY Mellon Municipal Income Inc. Common Stock,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,Oil & Gas Production
DMN,Damon Inc. Common Stock,EDP Services
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation Common Stock,EDP Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,Blank Checks
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,Finance: Consumer Services
DNLI,Denali Therapeutics Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
DNN,Denison Mines Corp Ordinary Shares (Canada),Other Metals and Minerals
DNOW,DNOW Inc. Common Stock,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,Investment Managers
DNTH,Dianthus Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DNUT,Krispy Kreme Inc. Common Stock,Food Chains
DOC,Healthpeak Properties Inc. Common Stock,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,EDP Services
DOCU,DocuSign Inc. Common Stock,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation Class A Common Stock,Miscellaneous manufacturing industries
DOLE,Dole plc Ordinary Shares,Farming/Seeds/Milling
DOMH,Dominari Holdings Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DOMO,Domo Inc. Class B Common Stock,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,Auto Parts:O.E.M.
DOUG,Douglas Elliman Inc. Common Stock,Real Estate
DOV,Dover Corporation Common Stock,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,Major Chemicals
DOX,Amdocs Limited Ordinary Shares,EDP Services
DOYU,DouYu International Holdings Limited ADS,Computer Software: Programming Data Processing
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,Aerospace
DPZ,Domino's Pizza Inc Common Stock,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,Semiconductors
DRCT,Direct Digital Holdings Inc. Class A Common Stock,Advertising
DRD,DRDGOLD Limited American Depositary Shares,Precious Metals
DRDBU,Roman DBDR Acquisition Corp. II Unit,
DRH,Diamondrock Hospitality Company Common Stock,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,
DRI,Darden Restaurants Inc. Common Stock,Restaurants
DRIO,DarioHealth Corp. Common Stock,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DRMAW,Dermata Therapeutics Inc. Warrant,Biotechnology: Pharmaceutical Preparations
DRRX,DURECT Corporation Common Stock,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRS Inc. Common Stock,Industrial Machinery/Components
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Medical/Dental Instruments
DRTSW,Alpha Tau Medical Ltd. Warrant,Medical/Dental Instruments
DRUG,Bright Minds Biosciences Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DRVN,Driven Brands Holdings Inc. Common Stock,Automotive Aftermarket
DSGN,Design Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,Industrial Specialties
DSGX,Descartes Systems Group Inc. (The) Common Stock,Computer Software: Prepackaged Software
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,Containers/Packaging
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,Plastic Products
DSX,Diana Shipping inc. common stock,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),
DSY,Big Tree Cloud Holdings Limited Ordinary Shares,Containers/Packaging
DSYWW,Big Tree Cloud Holdings Limited Warrants,Containers/Packaging
DT,Dynatrace Inc. Common Stock,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,Recreational Games/Products/Toys
DTCK,Davis Commodities Limited Ordinary Shares,Farming/Seeds/Milling
DTE,DTE Energy Company Common Stock,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,Electric Utilities: Central
DTI,Drilling Tools International Corporation Common Stock,Metal Fabrications
DTIL,Precision BioSciences Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
DTM,DT Midstream Inc. Common Stock ,Natural Gas Distribution
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares,
DTSQR,DT Cloud Star Acquisition Corporation Right,
DTSS,Datasea Inc. Common Stock,Computer Software: Prepackaged Software
DTST,Data Storage Corporation Common Stock,EDP Services
DTSTW,Data Storage Corporation Warrant,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Power Generation
DUO,Fangdd Network Group Ltd. Class A Ordinary Shares,Real Estate
DUOL,Duolingo Inc. Class A Common Stock,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,Oil & Gas Production
DWTX,Dogwood Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DX,Dynex Capital Inc. Common Stock,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,
DXC,DXC Technology Company Common Stock ,EDP Services
DXCM,DexCom Inc. Common Stock,Medical/Dental Instruments
DXLG,Destination XL Group Inc. Common Stock,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,Medical/Dental Instruments
DXST,Decent Holding Inc Ordinary Shares,Miscellaneous
DXYZ,Destiny Tech100 Inc. Common Stock,
DY,Dycom Industries Inc. Common Stock,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
DYCQ,DT Cloud Acquisition Corporation Ordinary Shares,
DYCQR,DT Cloud Acquisition Corporation Right,
DYN,Dyne Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
DYNX,Dynamix Corporation Class A Ordinary Shares,
DYNXU,Dynamix Corporation Unit,
DYNXW,Dynamix Corporation Warrant,
E,ENI S.p.A. Common Stock,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,Computer Software: Prepackaged Software
EAD,Allspring Income Opportunities Fund Common Shares,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,Electric Utilities: Central
EARN,Ellington Credit Company Common Shares of Beneficial Interest,Real Estate Investment Trusts
EAST,Eastside Distilling Inc. Common Stock,Beverages (Production/Distribution)
EAT,Brinker International Inc. Common Stock,Restaurants
EB,Eventbrite Inc. Class A Common Stock,Computer Software: Programming Data Processing
EBAY,eBay Inc. Common Stock,Business Services
EBC,Eastern Bankshares Inc. Common Stock,Savings Institutions
EBF,Ennis Inc. Common Stock,Office Equipment/Supplies/Services
